user_id,city,age_group,gender,account_tenure,customer_tier,spending_persona,preferred_method
USR00249,Indore,18-24,Male,1-2 years,Regular,Moderate,Credit Card
USR00250,Ahmedabad,55+,Female,2-5 years,New,Budget,UPI
USR00251,Bangalore,35-44,Female,1-2 years,Regular,Impulse,UPI
USR00252,Bangalore,35-44,Female,2-5 years,Premium,Moderate,UPI
USR00253,Delhi,35-44,Male,5+ years,Regular,Budget,UPI
USR00254,Kolkata,25-34,Male,5+ years,Premium,Budget,UPI
USR00255,Pune,25-34,Other,2-5 years,VIP,High Spender,UPI
USR00256,Delhi,35-44,Male,1-2 years,Regular,Moderate,UPI
USR00257,Hyderabad,55+,Female,6-12 months,Premium,Moderate,UPI
USR00258,Pune,35-44,Female,0-6 months,Regular,High Spender,UPI
USR00259,Ahmedabad,18-24,Female,5+ years,Regular,Impulse,Mobile Wallet
USR00260,Hyderabad,25-34,Female,1-2 years,Premium,Impulse,UPI
USR00261,Chennai,35-44,Female,5+ years,VIP,Budget,Mobile Wallet
USR00262,Delhi,45-54,Other,1-2 years,Regular,Impulse,Mobile Wallet
USR00263,Indore,45-54,Male,2-5 years,New,Impulse,UPI
USR00264,Kochi,35-44,Male,5+ years,Premium,Moderate,UPI
USR00265,Mumbai,18-24,Male,6-12 months,Regular,High Spender,Net Banking
USR00266,Chennai,35-44,Male,5+ years,VIP,High Spender,Credit Card
USR00267,Mumbai,35-44,Male,6-12 months,Regular,Budget,UPI
USR00268,Delhi,35-44,Female,1-2 years,Premium,Budget,Debit Card
USR00269,Pune,18-24,Male,1-2 years,Regular,Moderate,Mobile Wallet
USR00270,Kolkata,25-34,Male,5+ years,Regular,Moderate,UPI
USR00271,Mumbai,18-24,Female,2-5 years,Regular,Moderate,Credit Card
USR00272,Hyderabad,35-44,Male,6-12 months,Premium,High Spender,UPI
USR00273,Hyderabad,35-44,Male,2-5 years,New,Moderate,Credit Card
USR00274,Chennai,18-24,Male,2-5 years,New,Budget,Debit Card
USR00275,Mumbai,25-34,Female,1-2 years,Regular,Moderate,UPI
USR00276,Hyderabad,45-54,Female,1-2 years,Premium,High Spender,Credit Card
USR00277,Mumbai,25-34,Male,5+ years,VIP,Budget,Mobile Wallet
USR00278,Mumbai,25-34,Female,2-5 years,VIP,Moderate,Credit Card
USR00279,Guwahati,25-34,Female,5+ years,Regular,Moderate,Debit Card
USR00280,Hyderabad,35-44,Male,6-12 months,Regular,Moderate,Debit Card
USR00281,Delhi,18-24,Male,1-2 years,Premium,Moderate,Credit Card
USR00282,Jaipur,25-34,Male,1-2 years,VIP,High Spender,UPI
USR00283,Ahmedabad,25-34,Female,5+ years,New,Budget,UPI
USR00284,Mumbai,35-44,Female,0-6 months,Premium,Moderate,UPI
USR00285,Delhi,45-54,Male,1-2 years,Regular,High Spender,Net Banking
USR00286,Bangalore,35-44,Female,1-2 years,Regular,Budget,Debit Card
USR00287,Delhi,25-34,Male,5+ years,Premium,Impulse,Debit Card
USR00288,Bangalore,25-34,Female,5+ years,Premium,High Spender,UPI
USR00289,Bangalore,18-24,Male,2-5 years,Regular,High Spender,UPI
USR00290,Kolkata,45-54,Female,2-5 years,VIP,Moderate,UPI
USR00291,Delhi,25-34,Female,5+ years,Premium,Budget,Debit Card
USR00292,Delhi,25-34,Female,2-5 years,Premium,Budget,Net Banking
USR00293,Kolkata,35-44,Male,5+ years,Regular,Impulse,UPI
USR00294,Indore,55+,Male,5+ years,Regular,Budget,Debit Card
USR00295,Delhi,45-54,Female,2-5 years,Regular,Moderate,UPI
USR00296,Delhi,25-34,Male,0-6 months,VIP,Moderate,Net Banking
USR00297,Chandigarh,25-34,Male,2-5 years,Regular,Budget,UPI
USR00298,Indore,35-44,Male,6-12 months,Regular,Moderate,Net Banking
USR00299,Hyderabad,35-44,Female,6-12 months,Premium,Impulse,Debit Card
USR00300,Hyderabad,18-24,Female,6-12 months,Premium,Moderate,Mobile Wallet
USR00301,Chennai,35-44,Male,0-6 months,Premium,Impulse,Debit Card
USR00302,Ahmedabad,25-34,Female,6-12 months,Premium,Budget,Credit Card
USR00303,Bangalore,35-44,Female,2-5 years,Regular,Moderate,UPI
USR00304,Chennai,18-24,Female,1-2 years,VIP,Budget,Net Banking
USR00305,Pune,45-54,Female,0-6 months,New,Budget,UPI
USR00306,Hyderabad,45-54,Male,1-2 years,Regular,Moderate,Credit Card
USR00307,Guwahati,25-34,Female,5+ years,Premium,High Spender,Net Banking
USR00308,Mumbai,25-34,Female,0-6 months,New,Budget,Credit Card
USR00309,Bangalore,45-54,Female,5+ years,New,Moderate,UPI
USR00310,Delhi,45-54,Female,1-2 years,New,Budget,Mobile Wallet
USR00311,Chandigarh,35-44,Male,5+ years,Regular,Impulse,Debit Card
USR00312,Kolkata,35-44,Male,0-6 months,Regular,Budget,Net Banking
USR00313,Bangalore,45-54,Male,2-5 years,New,Impulse,Debit Card
USR00314,Hyderabad,55+,Male,1-2 years,Premium,Moderate,Net Banking
USR00315,Coimbatore,25-34,Female,0-6 months,Regular,Impulse,Credit Card
USR00316,Bangalore,55+,Male,2-5 years,Premium,Budget,Debit Card
USR00317,Ahmedabad,35-44,Male,6-12 months,Premium,Moderate,Net Banking
USR00318,Bangalore,18-24,Male,1-2 years,Regular,Budget,UPI
USR00319,Delhi,25-34,Female,1-2 years,New,Moderate,UPI
USR00320,Chennai,25-34,Male,1-2 years,Regular,Budget,Mobile Wallet
USR00321,Chandigarh,55+,Female,6-12 months,Regular,Budget,UPI
USR00322,Hyderabad,18-24,Male,1-2 years,Regular,Budget,UPI
USR00323,Delhi,35-44,Female,6-12 months,New,Moderate,Mobile Wallet
USR00324,Bangalore,35-44,Female,1-2 years,Regular,High Spender,Mobile Wallet
USR00325,Kochi,18-24,Male,5+ years,Regular,Moderate,Mobile Wallet
USR00326,Coimbatore,25-34,Female,1-2 years,Regular,Budget,UPI
USR00327,Jaipur,25-34,Male,2-5 years,Regular,Moderate,Debit Card
USR00328,Chennai,55+,Male,2-5 years,Regular,Budget,Debit Card
USR00329,Jaipur,45-54,Male,1-2 years,Premium,Budget,Debit Card
USR00330,Kolkata,45-54,Male,5+ years,Regular,Moderate,Credit Card
USR00331,Indore,35-44,Female,2-5 years,Regular,High Spender,Credit Card
USR00332,Pune,18-24,Female,2-5 years,Regular,Moderate,UPI
USR00333,Kochi,35-44,Male,2-5 years,VIP,Moderate,UPI
USR00334,Delhi,25-34,Male,2-5 years,Regular,Moderate,UPI
USR00335,Ahmedabad,35-44,Male,1-2 years,New,Budget,Credit Card
USR00336,Coimbatore,18-24,Female,6-12 months,Regular,Moderate,UPI
USR00337,Hyderabad,25-34,Male,2-5 years,Regular,Moderate,Net Banking
USR00338,Mumbai,45-54,Female,2-5 years,Regular,Impulse,UPI
USR00339,Delhi,18-24,Female,5+ years,Regular,Moderate,UPI
USR00340,Pune,25-34,Male,2-5 years,Regular,Moderate,UPI
USR00341,Kolkata,25-34,Female,2-5 years,New,Budget,Mobile Wallet
USR00342,Delhi,25-34,Male,6-12 months,Premium,Moderate,Debit Card
USR00343,Chennai,35-44,Female,1-2 years,Premium,Moderate,Net Banking
USR00344,Kolkata,25-34,Female,0-6 months,New,Budget,UPI
USR00345,Delhi,35-44,Male,1-2 years,New,Moderate,UPI
USR00346,Pune,35-44,Female,5+ years,Regular,Moderate,UPI
USR00347,Bangalore,25-34,Male,1-2 years,New,Budget,Net Banking
USR00348,Coimbatore,25-34,Male,2-5 years,Regular,High Spender,Credit Card
USR00349,Mumbai,18-24,Female,1-2 years,Regular,Moderate,UPI
USR00350,Hyderabad,35-44,Female,2-5 years,New,Budget,Net Banking
USR00351,Jaipur,25-34,Female,0-6 months,Premium,Moderate,Mobile Wallet
USR00352,Mumbai,45-54,Female,1-2 years,VIP,Moderate,UPI
USR00353,Jaipur,25-34,Other,2-5 years,Regular,High Spender,Debit Card
USR00354,Bangalore,35-44,Female,6-12 months,New,Budget,UPI
USR00355,Mumbai,25-34,Male,2-5 years,Regular,High Spender,UPI
USR00356,Delhi,45-54,Other,2-5 years,New,Impulse,Net Banking
USR00357,Chandigarh,55+,Female,6-12 months,Premium,Budget,Debit Card
USR00358,Jaipur,35-44,Female,1-2 years,Regular,Budget,Credit Card
USR00359,Hyderabad,35-44,Female,0-6 months,Regular,Budget,Mobile Wallet
USR00360,Bangalore,55+,Male,0-6 months,Premium,High Spender,Net Banking
USR00361,Hyderabad,35-44,Male,0-6 months,Regular,Budget,Credit Card
USR00362,Delhi,25-34,Female,1-2 years,Regular,Moderate,Credit Card
USR00363,Bangalore,35-44,Male,0-6 months,Premium,Moderate,UPI
USR00364,Lucknow,25-34,Male,5+ years,Regular,Moderate,UPI
USR00365,Pune,18-24,Female,1-2 years,Premium,Budget,UPI
USR00366,Chandigarh,18-24,Male,1-2 years,Premium,Budget,Debit Card
USR00367,Kolkata,18-24,Male,6-12 months,Regular,Moderate,UPI
USR00368,Pune,45-54,Other,1-2 years,New,Budget,UPI
USR00369,Kolkata,18-24,Male,5+ years,New,High Spender,Net Banking
USR00370,Mumbai,55+,Male,2-5 years,New,Moderate,Credit Card
USR00371,Kolkata,35-44,Male,1-2 years,Premium,High Spender,UPI
USR00372,Mumbai,35-44,Female,1-2 years,VIP,Moderate,UPI
USR00373,Delhi,18-24,Female,2-5 years,Premium,High Spender,Debit Card
USR00374,Jaipur,35-44,Male,1-2 years,Regular,High Spender,UPI
USR00375,Mumbai,45-54,Female,1-2 years,New,Moderate,Debit Card
USR00376,Hyderabad,55+,Other,5+ years,New,High Spender,Credit Card
USR00377,Bangalore,35-44,Female,5+ years,Premium,Budget,UPI
USR00378,Delhi,18-24,Male,2-5 years,Regular,Moderate,Credit Card
USR00379,Bangalore,35-44,Male,2-5 years,Premium,Budget,UPI
USR00380,Hyderabad,25-34,Female,2-5 years,Regular,Moderate,Net Banking
USR00381,Pune,18-24,Female,2-5 years,Premium,Budget,UPI
USR00382,Bangalore,25-34,Female,1-2 years,Premium,High Spender,UPI
USR00383,Kolkata,35-44,Male,5+ years,Regular,High Spender,Debit Card
USR00384,Delhi,18-24,Female,6-12 months,VIP,High Spender,UPI
USR00385,Ahmedabad,25-34,Male,2-5 years,Regular,Budget,Credit Card
USR00386,Bangalore,25-34,Female,1-2 years,Regular,Budget,Credit Card
USR00387,Kolkata,25-34,Male,0-6 months,Premium,Budget,Credit Card
USR00388,Bangalore,18-24,Female,5+ years,Regular,Impulse,Net Banking
USR00389,Bangalore,25-34,Male,2-5 years,Regular,Budget,UPI
USR00390,Hyderabad,45-54,Male,2-5 years,VIP,Impulse,UPI
USR00391,Hyderabad,25-34,Female,1-2 years,Regular,Budget,UPI
USR00392,Chennai,25-34,Female,1-2 years,Regular,Moderate,Net Banking
USR00393,Delhi,45-54,Female,6-12 months,New,Moderate,UPI
USR00394,Bangalore,45-54,Female,5+ years,New,Moderate,Net Banking
USR00395,Kolkata,18-24,Female,6-12 months,Regular,Budget,Mobile Wallet
USR00396,Kolkata,18-24,Female,5+ years,Regular,High Spender,UPI
USR00397,Kochi,18-24,Male,6-12 months,Premium,Budget,Credit Card
USR00398,Bangalore,55+,Male,6-12 months,Regular,High Spender,Debit Card
USR00399,Kolkata,25-34,Male,0-6 months,Regular,High Spender,Debit Card
USR00400,Mumbai,18-24,Male,1-2 years,Regular,Impulse,UPI
USR00401,Bangalore,25-34,Male,6-12 months,Premium,High Spender,Debit Card
USR00402,Mumbai,45-54,Male,0-6 months,Regular,Moderate,Credit Card
USR00403,Pune,25-34,Other,0-6 months,Regular,Moderate,Net Banking
USR00404,Delhi,25-34,Female,6-12 months,New,High Spender,Mobile Wallet
USR00405,Mumbai,45-54,Male,2-5 years,Premium,Moderate,UPI
USR00406,Jaipur,18-24,Male,5+ years,Regular,Budget,Mobile Wallet
USR00407,Jaipur,25-34,Male,1-2 years,Regular,Moderate,Net Banking
USR00408,Bangalore,18-24,Female,6-12 months,Regular,Budget,UPI
USR00409,Lucknow,18-24,Female,6-12 months,Regular,Moderate,Credit Card
USR00410,Mumbai,25-34,Male,6-12 months,VIP,Moderate,Debit Card
USR00411,Ahmedabad,45-54,Other,2-5 years,Regular,Moderate,Credit Card
USR00412,Chandigarh,25-34,Male,6-12 months,Regular,Budget,Mobile Wallet
USR00413,Ahmedabad,18-24,Other,2-5 years,Premium,Impulse,Mobile Wallet
USR00414,Mumbai,35-44,Male,2-5 years,VIP,Budget,Mobile Wallet
USR00415,Delhi,45-54,Female,1-2 years,Premium,High Spender,UPI
USR00416,Chennai,45-54,Female,5+ years,New,High Spender,Mobile Wallet
USR00417,Chennai,35-44,Male,5+ years,VIP,Moderate,UPI
USR00418,Hyderabad,18-24,Male,6-12 months,Regular,Budget,Mobile Wallet
USR00419,Delhi,18-24,Female,5+ years,Premium,Moderate,UPI
USR00420,Chennai,45-54,Female,5+ years,Premium,Impulse,UPI
USR00421,Indore,25-34,Male,1-2 years,New,Budget,Mobile Wallet
USR00422,Ahmedabad,55+,Female,6-12 months,VIP,Moderate,Mobile Wallet
USR00423,Ahmedabad,25-34,Female,6-12 months,Regular,Moderate,UPI
USR00424,Kolkata,55+,Female,1-2 years,VIP,Impulse,UPI
USR00425,Chennai,55+,Female,6-12 months,Regular,Impulse,UPI
USR00426,Kolkata,25-34,Other,6-12 months,VIP,Budget,Debit Card
USR00427,Pune,45-54,Male,6-12 months,Regular,Budget,UPI
USR00428,Mumbai,18-24,Male,2-5 years,VIP,High Spender,Credit Card
USR00429,Bangalore,35-44,Male,1-2 years,Premium,Moderate,Debit Card
USR00430,Delhi,18-24,Female,1-2 years,Regular,Impulse,UPI
USR00431,Delhi,25-34,Female,2-5 years,VIP,Budget,Debit Card
USR00432,Chennai,25-34,Male,5+ years,Regular,High Spender,UPI
USR00433,Mumbai,25-34,Male,2-5 years,Premium,High Spender,UPI
USR00434,Delhi,25-34,Male,2-5 years,Premium,Budget,UPI
USR00435,Bangalore,25-34,Female,2-5 years,Regular,Budget,UPI
USR00436,Delhi,18-24,Female,1-2 years,Regular,Moderate,Debit Card
USR00437,Mumbai,35-44,Male,5+ years,Regular,Moderate,UPI
USR00438,Hyderabad,25-34,Male,0-6 months,Premium,Moderate,UPI
USR00439,Bangalore,35-44,Female,2-5 years,Regular,High Spender,Net Banking
USR00440,Bangalore,35-44,Female,1-2 years,VIP,Moderate,UPI
USR00441,Chandigarh,35-44,Male,5+ years,Premium,Moderate,Debit Card
USR00442,Mumbai,35-44,Male,5+ years,VIP,High Spender,UPI
USR00443,Bangalore,55+,Male,5+ years,Premium,High Spender,UPI
USR00444,Chandigarh,45-54,Male,1-2 years,Regular,Moderate,UPI
USR00445,Hyderabad,45-54,Female,2-5 years,Regular,Moderate,Credit Card
USR00446,Mumbai,35-44,Female,5+ years,VIP,Moderate,UPI
USR00447,Delhi,35-44,Male,1-2 years,Regular,Moderate,Debit Card
USR00448,Mumbai,25-34,Male,2-5 years,Premium,Budget,Mobile Wallet
USR00449,Bangalore,25-34,Female,5+ years,VIP,Budget,Net Banking
USR00450,Bangalore,25-34,Male,2-5 years,New,High Spender,UPI
USR00451,Kochi,25-34,Female,6-12 months,Regular,Moderate,UPI
USR00452,Delhi,45-54,Female,2-5 years,Premium,High Spender,Credit Card
USR00453,Mumbai,25-34,Male,6-12 months,Premium,High Spender,UPI
USR00454,Delhi,45-54,Female,6-12 months,Regular,Impulse,Debit Card
USR00455,Delhi,45-54,Male,2-5 years,New,Budget,UPI
USR00456,Chennai,18-24,Female,2-5 years,Regular,Budget,Mobile Wallet
USR00457,Kolkata,35-44,Male,1-2 years,Regular,Moderate,Mobile Wallet
USR00458,Lucknow,35-44,Female,6-12 months,Regular,Budget,Net Banking
USR00459,Ahmedabad,18-24,Female,2-5 years,Premium,Budget,UPI
USR00460,Ahmedabad,25-34,Female,2-5 years,Regular,Moderate,UPI
USR00461,Delhi,25-34,Female,5+ years,Regular,Budget,Credit Card
USR00462,Pune,45-54,Male,2-5 years,Premium,Budget,UPI
USR00463,Mumbai,55+,Female,5+ years,Regular,High Spender,Mobile Wallet
USR00464,Delhi,18-24,Female,5+ years,Premium,High Spender,Debit Card
USR00465,Pune,35-44,Female,2-5 years,VIP,Budget,Credit Card
USR00466,Bangalore,18-24,Female,2-5 years,Regular,High Spender,UPI
USR00467,Hyderabad,45-54,Female,2-5 years,Regular,High Spender,Net Banking
USR00468,Lucknow,25-34,Male,6-12 months,Regular,High Spender,Net Banking
USR00469,Delhi,35-44,Male,0-6 months,Regular,High Spender,UPI
USR00470,Ahmedabad,25-34,Male,1-2 years,Premium,Moderate,Mobile Wallet
USR00471,Chennai,55+,Male,5+ years,Regular,High Spender,UPI
USR00472,Delhi,18-24,Female,6-12 months,Regular,Moderate,Credit Card
USR00473,Chandigarh,25-34,Male,2-5 years,Premium,Moderate,Debit Card
USR00474,Delhi,35-44,Male,1-2 years,Premium,Budget,Net Banking
USR00475,Hyderabad,35-44,Male,2-5 years,Premium,Moderate,Mobile Wallet
USR00476,Bangalore,18-24,Male,1-2 years,New,Moderate,Net Banking
USR00477,Delhi,35-44,Female,6-12 months,Premium,Moderate,UPI
USR00478,Bangalore,35-44,Male,5+ years,Regular,Budget,Debit Card
USR00479,Chennai,25-34,Female,5+ years,Regular,Impulse,UPI
USR00480,Delhi,55+,Female,1-2 years,Regular,High Spender,UPI
USR00481,Kolkata,35-44,Male,1-2 years,Premium,Budget,Mobile Wallet
USR00482,Delhi,35-44,Male,5+ years,Premium,Moderate,UPI
USR00483,Pune,25-34,Male,2-5 years,Regular,Budget,Debit Card
USR00484,Pune,25-34,Female,2-5 years,Regular,Moderate,UPI
USR00485,Jaipur,18-24,Female,0-6 months,New,Budget,UPI
USR00486,Delhi,25-34,Female,6-12 months,Premium,Budget,UPI
USR00487,Hyderabad,25-34,Female,1-2 years,New,Moderate,Mobile Wallet
USR00488,Jaipur,35-44,Male,0-6 months,Regular,High Spender,UPI
USR00489,Delhi,25-34,Other,1-2 years,Regular,Budget,UPI
USR00490,Mumbai,25-34,Female,1-2 years,Premium,Budget,Net Banking
USR00491,Mumbai,45-54,Female,6-12 months,Regular,Moderate,Debit Card
USR00492,Lucknow,18-24,Female,6-12 months,Regular,Impulse,UPI
USR00493,Bangalore,45-54,Female,2-5 years,Premium,Budget,Debit Card
USR00494,Mumbai,55+,Male,1-2 years,Regular,High Spender,Debit Card
USR00495,Delhi,25-34,Male,0-6 months,Premium,High Spender,Mobile Wallet
USR00496,Mumbai,55+,Male,1-2 years,New,Budget,UPI
USR00497,Kolkata,35-44,Female,2-5 years,Regular,Impulse,Debit Card
USR00498,Bangalore,25-34,Female,0-6 months,Premium,Budget,UPI
USR00499,Pune,25-34,Female,2-5 years,VIP,Budget,Debit Card
USR00500,Mumbai,45-54,Female,5+ years,New,Moderate,UPI
